filename,width,height,class,xmin,ymin,xmax,ymax
image1.png,1412,819,Zone_one_and_two_firewall,656,346,714,420
image1.png,1412,819,Active_and_standby_firewall,445,673,561,710
image1.png,1412,819,dispatching_data_network,149,718,260,776
image1.png,1412,819,Forward_isolation_device,305,337,359,376
image1.png,1412,819,firewall,1340,355,1398,392
image1.png,1412,819,disk_array,191,32,294,81
image1.png,1412,819,exchange,64,203,100,235
image1.png,1412,819,workstation,583,281,632,336
image1.png,1412,819,workstation,819,290,855,349
image1.png,1412,819,server,218,298,243,348
image1.png,1412,819,Forward_isolation_device,1006,199,1047,234
image1.png,1412,819,reverse_isolation_device,1003,243,1059,283
image1.png,1412,819,server,163,300,189,350
image1.png,1412,819,server,415,121,441,173
image1.png,1412,819,server,458,119,483,170
image1.png,1412,819,server,486,119,509,172
image1.png,1412,819,server,390,124,420,176
image1.png,1412,819,server,350,122,381,169
image1.png,1412,819,server,327,120,351,167
image1.png,1412,819,server,285,123,312,171
image1.png,1412,819,server,259,128,286,171
image1.png,1412,819,server,219,126,249,173
image1.png,1412,819,server,190,124,216,175
image1.png,1412,819,server,143,128,171,172
image1.png,1412,819,server,117,123,144,180
image1.png,1412,819,exchange,50,244,97,277
image1.png,1412,819,exchange,55,373,99,398
image1.png,1412,819,exchange,53,402,91,429
image1.png,1412,819,exchange,132,466,170,501
image1.png,1412,819,exchange,190,465,227,498
image1.png,1412,819,exchange,242,460,283,496
image1.png,1412,819,Longitudinal_encryption_device,134,522,178,560
image1.png,1412,819,Longitudinal_encryption_device,191,517,228,555
image1.png,1412,819,Longitudinal_encryption_device,241,512,290,555
image1.png,1412,819,workstation,524,124,555,187
image1.png,1412,819,workstation,566,127,602,190
image1.png,1412,819,exchange,779,353,817,383
image1.png,1412,819,exchange,771,379,811,405
image1.png,1412,819,server,813,428,839,485
image1.png,1412,819,server,840,431,873,477
image1.png,1412,819,server,876,291,897,347
image1.png,1412,819,server,894,293,922,340
image1.png,1412,819,server,939,291,955,345
image1.png,1412,819,server,955,298,983,334
image1.png,1412,819,exchange,1103,359,1149,389
image1.png,1412,819,exchange,1101,386,1149,418
image1.png,1412,819,server,1147,439,1177,488
image1.png,1412,819,server,1167,428,1200,474
image1.png,1412,819,server,1220,441,1249,495
image1.png,1412,819,server,1250,436,1279,495
image1.png,1412,819,reverse_isolation_device,367,338,411,378
image1.png,1412,819,server,133,299,161,346
image1.png,1412,819,server,247,296,278,344
image10.png,1314,804,Longitudinal_encryption_device,489,151,611,195
image10.png,1314,804,Longitudinal_encryption_device,659,143,778,200
image10.png,1314,804,Zone_one_and_two_firewall,971,439,1158,550
image10.png,1314,804,workstation,814,340,911,419
image10.png,1314,804,workstation,239,336,345,414
image10.png,1314,804,workstation,367,335,474,420
image10.png,1314,804,exchange,494,237,604,273
image10.png,1314,804,exchange,671,236,781,272
image10.png,1314,804,exchange,107,450,219,485
image10.png,1314,804,exchange,88,485,224,517
image10.png,1314,804,protector,627,554,728,634
image10.png,1314,804,protector,731,605,831,691
